Unique ID	Parent	Tier 1	Tier 2	Tier 3	Tier 4	Description
150		Attractions				Content relating to places and venues people visit for leisure or tourism: tourist destinations, things to see and do, points of interest, visitor attractions, travel sights, landmarks, and general attraction-related keywords.
151	150	Attractions	Amusement and Theme Parks			Content relating to theme parks and amusement parks: roller coasters, thrill rides, water parks, family entertainment parks, theme park tickets, Disney parks, Universal Studios, Six Flags, carnival rides, funfair, and similar keywords.
179	150	Attractions	Bars & Restaurants			Content relating to bars and restaurants as visitor destinations: dining venues, nightlife dining, pub, tavern, eatery, food and drink establishments at tourist or attraction areas, restaurant reviews at destinations.
181	150	Attractions	Casinos & Gambling			Content relating to physical casino and gambling venues: casinos, slot machines, table games, poker rooms, betting floors, resort casinos, Las Vegas, Macau, and land-based gambling establishment keywords.
153	150	Attractions	Historic Site and Landmark Tours			Content relating to historic sites and landmark tours: heritage sites, monuments, historic tours, cultural history, guided tours of landmarks, UNESCO sites, castles, ruins, and historical place keywords.
154	150	Attractions	Malls & Shopping Centers			Content relating to malls and shopping centers as attractions: shopping malls, retail centers, outlet malls, shopping destinations, mall directory, department stores, shopping complex, and retail-as-destination keywords.
155	150	Attractions	Museums & Galleries			Content relating to museums and galleries: art museums, exhibitions, galleries, cultural collections, natural history museum, science museum, museum tickets, artwork display, and museum-related keywords.
158	150	Attractions	Nightclubs			Content relating to nightclubs and club venues: nightclubs, dance clubs, DJ venues, nightlife, club nights, dance floor, VIP tables, club events, and nightclub-related keywords.
159	150	Attractions	Outdoor Activities			Content relating to outdoor activities as attractions: outdoor adventure, hiking trails, zip lines, outdoor recreation venues, adventure parks, outdoor experiences, nature activities at attractions, and similar keywords.
160	150	Attractions	Parks & Nature			Content relating to parks and nature as attractions: national parks, nature reserves, botanical gardens, city parks, wildlife parks, nature trails, green spaces, gardens, and park or nature-attraction keywords.
177	150	Attractions	Theater Venues			Content relating to Attractions > Theater Venues: theaters, Broadway, plays, musicals, opera houses, performance venues, stage, drama, showtimes, tickets, live theater.
178	150	Attractions	Zoos & Aquariums			Content relating to Attractions > Zoos & Aquariums: zoos, aquariums, wildlife parks, animal exhibits, conservation, marine life, safari, endangered species, animal care.
1		Automotive				Content relating to Automotive: cars, vehicles, automobiles, auto industry, dealerships, car reviews, driving, vehicle maintenance, automotive news.
2	1	Automotive	Auto Body Styles			Content relating to Automotive > Auto Body Styles: sedan, SUV, truck, hatchback, coupe, convertible, minivan, vehicle types, body styles, car classification.
3	2	Automotive	Auto Body Styles	Commercial Trucks		Content relating to Automotive > Auto Body Styles > Commercial Trucks: semi trucks, tractor-trailers, freight, hauling, commercial vehicles, 18-wheelers, cargo, logistics trucks.
8	2	Automotive	Auto Body Styles	Convertible		Content relating to Automotive > Auto Body Styles > Convertible: convertibles, drop-top, roadster, open-top cars, cabriolet, soft top, hard top convertible.
9	2	Automotive	Auto Body Styles	Coupe		Content relating to Automotive > Auto Body Styles > Coupe: coupes, two-door cars, sport coupe, luxury coupe, coupe body style.
10	2	Automotive	Auto Body Styles	Crossover		Content relating to Automotive > Auto Body Styles > Crossover: crossover SUVs, CUV, compact SUV, crossover vehicles, family crossover.
11	2	Automotive	Auto Body Styles	Hatchback		Content relating to Automotive > Auto Body Styles > Hatchback: hatchbacks, five-door, liftback, compact cars, hatchback reviews.
12	2	Automotive	Auto Body Styles	Microcar		Content relating to Automotive > Auto Body Styles > Microcar: microcars, city cars, small cars, mini vehicles, urban cars, kei cars.
